researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10,researcher11,researcher12,researcher13,researcher14,researcher15,researcher16,researcher17,researcher18,researcher19,researcher20,researcher21,researcher22,researcher23,researcher24,researcher25,researcher26,researcher27,researcher28,researcher29,researcher30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
