researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10,researcher11,researcher12,researcher13,researcher14,researcher15,researcher16,researcher17,researcher18,researcher19,researcher20,researcher21,researcher22,researcher23,researcher24,researcher25,researcher26,researcher27,researcher28,researcher29,researcher30,researcher31,researcher32,researcher33,researcher34,researcher35,researcher36,researcher37,researcher38,researcher39,researcher40,researcher41,researcher42,researcher43,researcher44,researcher45,researcher46,researcher47,researcher48,researcher49,researcher50,researcher51,researcher52,researcher53,researcher54,researcher55,researcher56,researcher57,researcher58,researcher59,researcher60,researcher61,researcher62,researcher63,researcher64,researcher65,researcher66,researcher67,researcher68,researcher69,researcher70,researcher71,researcher72,researcher73,researcher74,researcher75,researcher76,researcher77,researcher78,researcher79,researcher80,researcher81,researcher82,researcher83,researcher84,researcher85,researcher86,researcher87,researcher88,researcher89,researcher90,researcher91,researcher92,researcher93,researcher94,researcher95,researcher96,researcher97,researcher98,researcher99,researcher100
67 citations*,9 citations*,,1 citations*,,1 citations*,0 citations*,0 citations*,4 citations*,0 citations*,0 citations*,,,7 citations* for all,,3 citations*,0 citations*,0 citations*,,,2 citations*,,3 citations*,0 citations*,7 citations*,15 citations*,,,0 citations*,2 citations*,,14 citations*,,3 citations*,2 citations*,,,6 citations*,,,,,,,,,,,,,0 citations*,,4 citations*,,,,,0 citations*,31 citations*,56 citations*,,,12 citations*,,25 citations*,,,,,,,2 citations*,,,,,,,,,,,,5 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,2 citations*
30 citations*,0 citations*,,0 citations*,,0 citations*,1 citations*,2 citations*,9 citations*,0 citations*,2 citations*,,,4 citations*,,2 citations*,0 citations*,0 citations*,,,0 citations*,,2 citations*,0 citations*,23 citations*,1 citations*,,,0 citations*,1 citations*,,0 citations*,,3 citations*,3 citations*,,,0 citations*,,,,,,,,,,,,,0 citations*,,2 citations*,,,,,92 citations* for all,11 citations*,332 citations*,,,17 citations*,,0 citations*,,,,,,,1 citations*,,,,,,,,,,,,3 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,0 citations*
11 citations*,2 citations*,,2 citations*,,0 citations*,1 citations*,0 citations*,1 citations*,0 citations*,2 citations*,,,3 citations*,,2 citations*,0 citations*,0 citations*,,,0 citations*,,1 citations*,0 citations*,26 citations*,27 citations*,,,0 citations*,1 citations*,,0 citations*,,2 citations*,1 citations*,,,0 citations*,,,,,,,,,,,,,0 citations*,,2 citations*,,,,,0 citations*,11 citations*,334 citations*,,,28 citations*,,8 citations*,,,,,,,0 citations*,,,,,,,,,,,,4 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,0 citations*
59 citations*,0 citations*,,2 citations* for all,,4 citations*,0 citations*,0 citations*,2 citations*,0 citations*,8 citations*,,,106 citations*,,14 citations*,0 citations*,1 citations*,,,0 citations*,,1 citations*,2 citations*,1 citations*,1 citations*,,,3 citations*,61 citations*,,0 citations*,,0 citations*,5 citations*,,,3 citations*,,,,,,,,,,,,,0 citations*,,0 citations*,,,,,92 citations*,13 citations*,76 citations* for all,,,15 citations*,,30 citations*,,,,,,,0 citations*,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,6 citations*,,,,,1 citations*
79 citations*,1 citations*,,0 citations*,,0 citations*,0 citations*,1 citations*,6 citations*,0 citations*,0 citations*,,,18 citations* for all,,5 citations*,0 citations*,0 citations*,,,0 citations*,,1 citations*,1 citations*,29 citations*,4 citations*,,,1 citations*,59 citations*,,0 citations*,,2 citations*,16 citations*,,,1 citations*,,,,,,,,,,,,,,,1 citations*,,,,,0 citations*,1 citations*,76 citations*,,,13 citations*,,9 citations*,,,,,,,1 citations*,,,,,,,,,,,,3 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,0 citations*
21 citations*,0 citations*,,2 citations*,,1 citations*,0 citations*,0 citations*,7 citations*,0 citations*,1 citations*,,,18 citations*,,4 citations*,2 citations*,0 citations*,,,0 citations*,,2 citations*,19 citations*,3 citations*,1 citations*,,,0 citations*,64 citations*,,0 citations*,,1 citations*,0 citations*,,,0 citations*,,,,,,,,,,,,,,,5 citations*,,,,,167 citations* for all,20 citations*,0 citations*,,,0 citations*,,1 citations*,,,,,,,0 citations*,,,,,,,,,,,,4 citations*,,,0 citations*,,,,,,,,3 citations*,,,,,1 citations*
12 citations*,5 citations*,,0 citations*,,2 citations*,1 citations*,2 citations*,1 citations*,0 citations*,4 citations*,,,0 citations*,,63 citations*,1 citations*,0 citations*,,,,,0 citations*,17 citations*,21 citations*,11 citations*,,,0 citations*,6 citations*,,0 citations*,,29 citations*,0 citations*,,,0 citations*,,,,,,,,,,,,,,,0 citations*,,,,,167 citations*,4 citations*,219 citations*,,,0 citations*,,6 citations*,,,,,,,0 citations*,,,,,,,,,,,,4 citations*,,,0 citations*,,,,,,,,3 citations*,,,,,0 citations*
27 citations*,0 citations*,,1 citations* for all,,0 citations*,0 citations*,0 citations*,2 citations*,0 citations*,2 citations*,,,9 citations* for all,,2 citations*,0 citations*,0 citations*,,,,,0 citations*,5 citations*,96 citations* for all,3 citations*,,,0 citations*,27 citations*,,0 citations*,,2 citations*,5 citations*,,,0 citations*,,,,,,,,,,,,,,,0 citations*,,,,,0 citations*,7 citations*,280 citations*,,,5 citations*,,6 citations*,,,,,,,0 citations*,,,,,,,,,,,,5 citations*,,,0 citations*,,,,,,,,4 citations*,,,,,0 citations*
65 citations*,5 citations*,,1 citations*,,0 citations*,0 citations*,3 citations*,5 citations*,0 citations*,4 citations*,,,9 citations*,,3 citations*,0 citations*,,,,,,0 citations*,0 citations*,96 citations*,16 citations*,,,0 citations*,19 citations*,,0 citations*,,1 citations*,1 citations*,,,1 citations*,,,,,,,,,,,,,,,0 citations*,,,,,115 citations* for all,10 citations*,95 citations*,,,3 citations*,,8 citations*,,,,,,,0 citations*,,,,,,,,,,,,4 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,0 citations*
60 citations*,0 citations*,,0 citations*,,0 citations*,3 citations*,0 citations*,0 citations*,0 citations*,10 citations*,,,0 citations*,,1 citations*,1 citations*,,,,,,0 citations*,0 citations*,0 citations*,16 citations*,,,0 citations*,1 citations*,,2 citations*,,11 citations*,6 citations*,,,0 citations*,,,,,,,,,,,,,,,0 citations*,,,,,113 citations*,1 citations*,238 citations*,,,2 citations*,,9 citations*,,,,,,,0 citations*,,,,,,,,,,,,0 citations*,,,1 citations*,,,,,,,,1 citations*,,,,,0 citations*
76 citations*,0 citations*,,0 citations*,,0 citations*,0 citations*,0 citations*,4 citations*,1 citations*,0 citations*,,,9 citations* for all,,5 citations*,3 citations*,,,,,,0 citations*,6 citations*,67 citations*,7 citations*,,,0 citations*,22 citations*,,1 citations*,,1 citations*,1 citations*,,,0 citations*,,,,,,,,,,,,,,,0 citations*,,,,,2 citations*,22 citations*,91 citations*,,,4 citations*,,3 citations*,,,,,,,0 citations*,,,,,,,,,,,,0 citations*,,,1 citations*,,,,,,,,0 citations*,,,,,0 citations*
7 citations*,2 citations*,,2 citations*,,0 citations*,0 citations*,0 citations*,6 citations*,0 citations*,3 citations*,,,9 citations*,,3 citations*,0 citations*,,,,,,0 citations*,11 citations*,55 citations*,2 citations*,,,0 citations*,52 citations*,,1 citations*,,1 citations*,2 citations*,,,0 citations*,,,,,,,,,,,,,,,0 citations*,,,,,165 citations* for all,14 citations*,83 citations*,,,0 citations*,,6 citations*,,,,,,,0 citations*,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,0 citations*
15 citations*,3 citations*,,2 citations*,,0 citations*,1 citations*,0 citations*,2 citations*,0 citations*,0 citations*,,,0 citations*,,30 citations*,0 citations*,,,,,,0 citations*,0 citations*,10 citations*,1 citations*,,,0 citations*,1 citations*,,0 citations*,,24 citations*,1 citations*,,,0 citations*,,,,,,,,,,,,,,,0 citations*,,,,,165 citations*,16 citations*,32 citations*,,,0 citations*,,11 citations*,,,,,,,0 citations*,,,,,,,,,,,,3 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,1 citations*
31 citations*,0 citations*,,0 citations*,,0 citations*,0 citations*,0 citations*,1 citations*,0 citations*,0 citations*,,,136 citations*,,0 citations*,0 citations*,,,,,,0 citations*,0 citations*,2 citations*,12 citations*,,,0 citations*,0 citations*,,1 citations*,,1 citations*,1 citations*,,,1 citations*,,,,,,,,,,,,,,,0 citations*,,,,,0 citations*,7 citations*,234 citations*,,,4 citations*,,5 citations*,,,,,,,,,,,,,,,,,,,4 citations*,,,0 citations*,,,,,,,,6 citations*,,,,,2 citations*
14 citations*,2 citations*,,0 citations*,,0 citations*,1 citations*,5 citations*,204 citations*,0 citations*,0 citations*,,,14 citations*,,0 citations*,0 citations*,,,,,,11 citations*,4 citations*,12 citations*,5 citations*,,,0 citations*,4 citations*,,6 citations*,,14 citations*,1 citations*,,,0 citations*,,,,,,,,,,,,,,,0 citations*,,,,,165 citations* for all,29 citations*,90 citations*,,,7 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,6 citations*,,,0 citations*,,,,,,,,3 citations*,,,,,1 citations*
25 citations*,1 citations*,,0 citations*,,0 citations*,0 citations*,0 citations*,3 citations*,0 citations*,0 citations*,,,26 citations*,,23 citations*,0 citations*,,,,,,1 citations*,1 citations*,62 citations*,4 citations*,,,2 citations*,1 citations*,,0 citations*,,0 citations*,1 citations*,,,2 citations*,,,,,,,,,,,,,,,0 citations*,,,,,165 citations*,9 citations*,118 citations*,,,6 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,5 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,1 citations*
20 citations*,2 citations*,,5 citations*,,0 citations*,1 citations*,0 citations*,0 citations*,0 citations*,0 citations*,,,22 citations* for all,,26 citations*,1 citations*,,,,,,0 citations*,8 citations*,9 citations*,18 citations*,,,0 citations*,4 citations*,,0 citations*,,0 citations*,4 citations*,,,0 citations*,,,,,,,,,,,,,,,0 citations*,,,,,0 citations*,1 citations*,19 citations*,,,15 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,3 citations*,,,0 citations*,,,,,,,,10 citations*,,,,,1 citations*
53 citations*,0 citations*,,0 citations* for all,,0 citations*,0 citations*,2 citations*,0 citations*,0 citations*,3 citations*,,,22 citations*,,3 citations*,0 citations*,,,,,,0 citations*,15 citations*,59 citations*,7 citations*,,,0 citations*,8 citations*,,0 citations*,,114 citations*,0 citations*,,,2 citations*,,,,,,,,,,,,,,,0 citations*,,,,,58 citations* for all,4 citations*,258 citations*,,,7 citations*,,8 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,54 citations*,,,,,0 citations*
16 citations*,0 citations*,,0 citations*,,2 citations*,0 citations*,0 citations*,14 citations*,0 citations*,0 citations*,,,0 citations*,,5 citations*,0 citations*,,,,,,0 citations*,2 citations*,1 citations*,3 citations*,,,0 citations*,18 citations*,,1 citations*,,51 citations*,0 citations*,,,0 citations*,,,,,,,,,,,,,,,3 citations*,,,,,58 citations*,4 citations*,68 citations*,,,5 citations*,,16 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,5 citations*,,,,,0 citations*
4 citations*,0 citations*,,0 citations*,,1 citations*,1 citations*,0 citations*,2 citations*,0 citations*,3 citations* for all,,,7 citations*,,0 citations*,0 citations*,,,,,,0 citations*,2 citations*,86 citations*,8 citations*,,,0 citations*,5 citations*,,1 citations*,,2 citations*,0 citations*,,,,,,,,,,,,,,,,,,6 citations*,,,,,0 citations*,15 citations*,4 citations*,,,8 citations*,,4 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,5 citations*,,,,,0 citations*
52 citations*,0 citations*,,2 citations*,,0 citations*,2 citations* for all,0 citations*,7 citations*,0 citations*,3 citations*,,,21 citations*,,18 citations*,0 citations*,,,,,,0 citations*,0 citations*,150 citations*,15 citations*,,,0 citations*,1 citations*,,0 citations*,,0 citations*,6 citations*,,,,,,,,,,,,,,,,,,1 citations*,,,,,89 citations*,3 citations*,76 citations*,,,10 citations*,,12 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,3 citations*
14 citations*,0 citations*,,0 citations*,,0 citations*,2 citations*,0 citations*,2 citations*,0 citations*,0 citations*,,,34 citations* for all,,3 citations*,0 citations*,,,,,,7 citations*,0 citations*,5 citations*,4 citations*,,,0 citations*,388 citations*,,0 citations*,,0 citations*,0 citations*,,,,,,,,,,,,,,,,,,1 citations*,,,,,128 citations* for all,2 citations*,299 citations*,,,3 citations*,,6 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
25 citations*,4 citations*,,1 citations*,,1 citations*,0 citations*,1 citations*,5 citations* for all,0 citations*,0 citations*,,,34 citations*,,4 citations*,0 citations*,,,,,,9 citations*,2 citations*,2 citations*,15 citations*,,,2 citations*,19 citations*,,0 citations*,,2 citations*,0 citations*,,,,,,,,,,,,,,,,,,1 citations*,,,,,128 citations*,22 citations*,386 citations*,,,10 citations*,,23 citations*,,,,,,,,,,,,,,,,,,,8 citations*,,,0 citations*,,,,,,,,3 citations*,,,,,
12 citations*,3 citations*,,0 citations*,,0 citations*,0 citations*,7 citations*,0 citations*,3 citations*,0 citations*,,,0 citations*,,9 citations*,2 citations*,,,,,,17 citations*,2 citations*,118 citations*,17 citations*,,,0 citations*,109 citations*,,0 citations*,,4 citations*,0 citations*,,,,,,,,,,,,,,,,,,6 citations*,,,,,0 citations*,11 citations*,325 citations*,,,17 citations*,,12 citations*,,,,,,,,,,,,,,,,,,,5 citations*,,,0 citations*,,,,,,,,5 citations*,,,,,
23 citations*,0 citations*,,0 citations*,,0 citations*,1 citations*,1 citations*,3 citations*,2 citations*,2 citations*,,,16 citations*,,1 citations*,0 citations*,,,,,,0 citations*,0 citations*,3 citations*,3 citations*,,,1 citations*,5 citations*,,0 citations*,,9 citations*,2 citations*,,,,,,,,,,,,,,,,,,0 citations*,,,,,0 citations*,16 citations*,90 citations* for all,,,9 citations*,,14 citations*,,,,,,,,,,,,,,,,,,,3 citations*,,,0 citations*,,,,,,,,11 citations*,,,,,
7 citations*,0 citations*,,1 citations* for all,,0 citations*,0 citations*,0 citations*,2 citations*,0 citations*,0 citations*,,,22 citations*,,2 citations*,0 citations*,,,,,,0 citations*,4 citations*,54 citations*,6 citations*,,,0 citations*,76 citations*,,1 citations*,,6 citations*,0 citations*,,,,,,,,,,,,,,,,,,0 citations*,,,,,32 citations* for all,33 citations*,61 citations*,,,7 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,3 citations*,,,,,,,,2 citations*,,,,,
59 citations*,0 citations*,,1 citations*,,1 citations*,1 citations*,0 citations*,5 citations* for all,0 citations*,0 citations*,,,26 citations*,,24 citations*,0 citations*,,,,,,0 citations*,0 citations*,98 citations*,7 citations*,,,2 citations*,1 citations*,,1 citations*,,4 citations*,1 citations*,,,,,,,,,,,,,,,,,,1 citations*,,,,,32 citations*,4 citations*,22 citations*,,,7 citations*,,5 citations*,,,,,,,,,,,,,,,,,,,5 citations*,,,1 citations*,,,,,,,,1 citations*,,,,,
18 citations*,0 citations*,,0 citations*,,0 citations*,0 citations*,0 citations*,0 citations*,0 citations*,0 citations*,,,37 citations*,,3 citations*,1 citations*,,,,,,0 citations*,8 citations*,16 citations*,5 citations*,,,0 citations*,3 citations*,,0 citations*,,4 citations*,1 citations*,,,,,,,,,,,,,,,,,,0 citations*,,,,,0 citations*,3 citations*,4 citations*,,,14 citations*,,18 citations*,,,,,,,,,,,,,,,,,,,3 citations*,,,1 citations*,,,,,,,,4 citations*,,,,,
64 citations*,2 citations*,,0 citations*,,0 citations*,1 citations*,3 citations*,3 citations*,0 citations*,3 citations*,,,19 citations* for all,,0 citations*,1 citations*,,,,,,0 citations*,0 citations*,9 citations*,2 citations*,,,0 citations*,15 citations*,,0 citations*,,22 citations*,0 citations*,,,,,,,,,,,,,,,,,,2 citations*,,,,,247 citations* for all,5 citations*,287 citations*,,,18 citations*,,14 citations*,,,,,,,,,,,,,,,,,,,4 citations*,,,2 citations*,,,,,,,,6 citations*,,,,,
65 citations*,0 citations*,,0 citations*,,0 citations*,0 citations*,4 citations*,2 citations*,0 citations*,0 citations*,,,19 citations*,,0 citations*,1 citations*,,,,,,0 citations*,1 citations*,24 citations*,3 citations*,,,0 citations*,9 citations*,,0 citations*,,20 citations*,1 citations*,,,,,,,,,,,,,,,,,,1 citations*,,,,,244 citations*,4 citations*,334 citations*,,,1 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,1 citations*,,,,,,,,5 citations*,,,,,
14 citations*,0 citations*,,0 citations*,,0 citations*,0 citations*,0 citations*,4 citations*,0 citations*,0 citations*,,,0 citations*,,0 citations*,1 citations*,,,,,,0 citations*,0 citations*,3 citations*,13 citations*,,,0 citations*,14 citations*,,8 citations*,,7 citations*,0 citations*,,,,,,,,,,,,,,,,,,0 citations*,,,,,3 citations*,29 citations*,179 citations*,,,1 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,4 citations*,,,3 citations*,,,,,,,,1 citations*,,,,,
13 citations*,0 citations*,,0 citations*,,1 citations*,0 citations*,3 citations*,0 citations*,0 citations*,0 citations*,,,27 citations*,,0 citations*,0 citations*,,,,,,0 citations*,21 citations*,2 citations*,1 citations*,,,0 citations*,2 citations*,,0 citations*,,1 citations*,0 citations*,,,,,,,,,,,,,,,,,,0 citations*,,,,,247 citations* for all,4 citations*,206 citations*,,,13 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
7 citations*,1 citations*,,0 citations*,,1 citations*,0 citations*,4 citations*,1 citations*,0 citations*,0 citations*,,,5 citations* for all,,33 citations*,0 citations*,,,,,,0 citations*,2 citations*,17 citations*,2 citations*,,,0 citations*,3 citations*,,12 citations*,,13 citations*,0 citations*,,,,,,,,,,,,,,,,,,4 citations*,,,,,244 citations*,27 citations*,106 citations*,,,5 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,5 citations*,,,2 citations*,,,,,,,,3 citations*,,,,,
17 citations*,8 citations*,,0 citations*,,0 citations*,0 citations*,0 citations*,2 citations*,0 citations*,0 citations*,,,5 citations*,,3 citations*,1 citations*,,,,,,0 citations*,0 citations*,0 citations*,1 citations*,,,0 citations*,15 citations*,,0 citations*,,0 citations*,1 citations*,,,,,,,,,,,,,,,,,,0 citations*,,,,,3 citations*,5 citations*,12 citations*,,,0 citations*,,17 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,1 citations*,,,,,,,,4 citations*,,,,,
22 citations*,4 citations*,,0 citations*,,0 citations*,0 citations*,0 citations*,1 citations*,0 citations*,4 citations*,,,0 citations*,,7 citations*,0 citations*,,,,,,0 citations*,4 citations*,4 citations*,0 citations*,,,0 citations*,6 citations*,,1 citations*,,7 citations*,3 citations*,,,,,,,,,,,,,,,,,,0 citations*,,,,,111 citations* for all,1 citations*,12 citations*,,,34 citations*,,3 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,6 citations*,,,,,
29 citations*,4 citations*,,0 citations*,,1 citations*,0 citations*,0 citations*,0 citations*,1 citations*,2 citations*,,,26 citations* for all,,19 citations*,0 citations*,,,,,,0 citations*,8 citations*,10 citations*,6 citations*,,,0 citations*,2 citations*,,1 citations*,,8 citations*,1 citations*,,,,,,,,,,,,,,,,,,0 citations*,,,,,111 citations*,10 citations*,45 citations*,,,4 citations*,,79 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,1 citations*,,,,,,,,3 citations*,,,,,
19 citations*,4 citations*,,0 citations*,,0 citations*,1 citations*,0 citations*,1 citations*,0 citations*,3 citations*,,,26 citations*,,1 citations*,0 citations*,,,,,,0 citations*,11 citations*,51 citations*,1 citations*,,,0 citations*,0 citations*,,0 citations*,,2 citations*,0 citations*,,,,,,,,,,,,,,,,,,1 citations*,,,,,0 citations*,9 citations*,204 citations*,,,15 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,4 citations*,,,4 citations*,,,,,,,,0 citations*,,,,,
31 citations*,0 citations*,,0 citations*,,0 citations*,4 citations*,0 citations*,0 citations*,0 citations*,2 citations*,,,0 citations*,,0 citations*,0 citations*,,,,,,0 citations*,2 citations*,8 citations*,4 citations*,,,0 citations*,0 citations*,,0 citations*,,0 citations*,3 citations*,,,,,,,,,,,,,,,,,,2 citations*,,,,,37 citations* for all,5 citations*,57 citations*,,,4 citations*,,5 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,6 citations*,,,,,
18 citations*,1 citations*,,0 citations*,,0 citations*,3 citations* for all,,3 citations*,0 citations*,2 citations*,,,26 citations* for all,,0 citations*,3 citations* for all,,,,,,0 citations*,0 citations*,0 citations*,4 citations*,,,0 citations*,1 citations*,,0 citations*,,4 citations*,5 citations*,,,,,,,,,,,,,,,,,,0 citations*,,,,,37 citations*,6 citations*,270 citations*,,,5 citations*,,11 citations*,,,,,,,,,,,,,,,,,,,4 citations*,,,0 citations*,,,,,,,,4 citations*,,,,,
17 citations*,2 citations*,,0 citations*,,0 citations*,3 citations*,,2 citations*,0 citations*,0 citations*,,,26 citations*,,0 citations*,0 citations*,,,,,,0 citations*,3 citations*,57 citations*,13 citations*,,,0 citations*,0 citations*,,0 citations*,,3 citations*,3 citations*,,,,,,,,,,,,,,,,,,0 citations*,,,,,0 citations*,3 citations*,494 citations*,,,6 citations*,,5 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,3 citations*,,,,,
10 citations* for all,1 citations*,,0 citations*,,0 citations*,0 citations*,,3 citations*,,0 citations*,,,0 citations*,,8 citations*,3 citations*,,,,,,1 citations*,6 citations*,4 citations*,2 citations*,,,0 citations*,0 citations*,,0 citations*,,10 citations*,7 citations*,,,,,,,,,,,,,,,,,,0 citations*,,,,,123 citations*,15 citations*,51 citations*,,,14 citations*,,3 citations*,,,,,,,,,,,,,,,,,,,4 citations*,,,0 citations*,,,,,,,,7 citations*,,,,,
10 citations*,0 citations*,,0 citations*,,1 citations*,0 citations*,,0 citations*,,0 citations*,,,59 citations*,,22 citations*,1 citations*,,,,,,0 citations*,0 citations*,12 citations*,3 citations*,,,1 citations*,11 citations*,,1 citations*,,2 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,51 citations* for all,13 citations*,64 citations*,,,20 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,3 citations*,,,0 citations*,,,,,,,,3 citations*,,,,,
0 citations*,0 citations*,,0 citations*,,2 citations*,0 citations*,,0 citations*,,0 citations*,,,25 citations* for all,,1 citations*,0 citations*,,,,,,0 citations*,1 citations*,86 citations*,0 citations*,,,0 citations*,3 citations*,,0 citations*,,23 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,51 citations*,11 citations*,334 citations*,,,9 citations*,,6 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,9 citations*,,,,,
25 citations*,0 citations*,,0 citations*,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,25 citations*,,1 citations*,0 citations*,,,,,,0 citations*,0 citations*,4 citations*,0 citations*,,,2 citations*,9 citations*,,0 citations*,,111 citations*,8 citations*,,,,,,,,,,,,,,,,,,,,,,,0 citations*,2 citations*,209 citations*,,,3 citations*,,4 citations* for all,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
19 citations*,2 citations*,,0 citations*,,2 citations*,0 citations*,,3 citations*,,0 citations*,,,0 citations*,,2 citations*,0 citations*,,,,,,0 citations*,0 citations*,13 citations*,8 citations*,,,2 citations*,0 citations*,,0 citations*,,0 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,10 citations*,2 citations*,253 citations*,,,22 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,
11 citations*,1 citations*,,0 citations*,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,2 citations*,,2 citations*,0 citations*,,,,,,0 citations*,0 citations*,22 citations*,12 citations*,,,2 citations*,1 citations*,,0 citations*,,188 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,345 citations*,2 citations*,65 citations*,,,4 citations*,,4 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
24 citations*,2 citations*,,0 citations*,,0 citations*,0 citations*,,1 citations*,,4 citations*,,,11 citations* for all,,2 citations*,3 citations*,,,,,,9 citations*,0 citations*,12 citations*,15 citations*,,,0 citations*,1 citations*,,0 citations*,,5 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,122 citations*,3 citations*,21 citations*,,,0 citations*,,13 citations*,,,,,,,,,,,,,,,,,,,9 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
12 citations*,2 citations*,,0 citations*,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,11 citations*,,0 citations*,0 citations*,,,,,,1 citations*,10 citations*,21 citations*,0 citations*,,,0 citations*,3 citations*,,0 citations*,,0 citations*,5 citations*,,,,,,,,,,,,,,,,,,,,,,,80 citations* for all,1 citations*,18 citations*,,,0 citations*,,2 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
15 citations*,0 citations*,,,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,0 citations*,,0 citations*,0 citations*,,,,,,10 citations*,0 citations*,14 citations*,14 citations*,,,1 citations*,0 citations*,,2 citations*,,13 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,76 citations*,19 citations*,154 citations*,,,9 citations*,,5 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
11 citations*,0 citations*,,,,0 citations*,0 citations*,,1 citations*,,1 citations*,,,1 citations* for all,,0 citations*,3 citations* for all,,,,,,9 citations*,0 citations*,5 citations*,1 citations*,,,1 citations*,4 citations*,,0 citations*,,6 citations*,12 citations*,,,,,,,,,,,,,,,,,,,,,,,4 citations*,0 citations*,80 citations*,,,12 citations*,,7 citations*,,,,,,,,,,,,,,,,,,,61 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
11 citations*,0 citations*,,,,0 citations*,0 citations*,,0 citations*,,2 citations*,,,1 citations*,,1 citations*,3 citations*,,,,,,0 citations*,0 citations*,15 citations*,18 citations*,,,0 citations*,23 citations*,,0 citations*,,0 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,50 citations* for all,0 citations*,12 citations*,,,6 citations*,,5 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
19 citations*,0 citations*,,,,0 citations*,0 citations*,,1 citations*,,0 citations*,,,0 citations*,,2 citations*,0 citations*,,,,,,1 citations*,0 citations*,3 citations*,4 citations*,,,0 citations*,10 citations*,,0 citations*,,9 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,50 citations*,1 citations*,280 citations*,,,5 citations*,,10 citations*,,,,,,,,,,,,,,,,,,,6 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
12 citations*,2 citations*,,,,0 citations*,1 citations*,,0 citations*,,2 citations*,,,11 citations* for all,,9 citations*,0 citations*,,,,,,2 citations*,0 citations*,1 citations*,3 citations*,,,0 citations*,2 citations*,,0 citations*,,6 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,0 citations*,2 citations*,287 citations*,,,5 citations*,,9 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,7 citations*,,,,,
